a1,a5a,DR,a10,a12,a15_rec,a16,taille_menage,g01bis,g02bis,g04bis,g05bis,g06bis,g07bis,g08bis,g09bis,g11bis,g12bis,g12_autre,g10bis,g13bis,g14bis,g16bis,g19bis,g19_autre_a_preciser,g03_unitbis,g03_dureebis,g15_unitbis,g15_dureebis,poids,strate
DAKAR,01003,010,Chef de menage,Masculi,40-44ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Manque de place/surcharge,,Aucune demande,98,,,689.2243041992188,Dakar urbain
DAKAR,01101,011,EpouseEpoux,Feminin,25-29ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,Aucune demande,98,,,780.2109985351563,Dakar urbain
DAKAR,01104,011,Chef de menage,Masculi,40-44ans,Halpulaar, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,780.2109985351563,Dakar urbain
DAKAR,01105,011,Autre Parent,Feminin,50-54ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public TaTa,Prix trop élevé,,Aucune demande,98,,,780.2109985351563,Dakar urbain
DAKAR,01112,011,Chef de menage,Masculi,50-54ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,780.2109985351563,Dakar urbain
DAKAR,01203,012,EpouseEpoux,Feminin,20-24ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,784.9498901367188,Dakar urbain
DAKAR,01210,012,S?urFrere,Feminin,20-24ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,784.9498901367188,Dakar urbain
DAKAR,01307,013,Enfant biologiqueAdopte,Feminin,18-19ans,Serere, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,3,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Non,,,La voiture/vehicule personnel,Trop dangereux,,Aucune demande,98,,,730.1552124023438,Dakar urbain
DAKAR,01403,014,Chef de menage,Masculi,50-54ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Oui,,,Taxi jaune noir,Manque de place/surcharge,,Aucune demande,98,,,1005.118774414063,Dakar urbain
DAKAR,01407,014,Chef de menage,Feminin,55-59ans,Autres ? preciser, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,1,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Taxi jaune noir,Aucune repproche,,Aucune demande,98,,,1005.118774414063,Dakar urbain
DAKAR,01409,014,Chef de menage,Masculi,20-24ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Moins de 30 minutes,Restée la même,Bougies,Non,Logement public,,,,,Le trekking/marche/à pied,Aucune repproche,,Aucune demande,98,,,1005.118774414063,Dakar urbain
DAKAR,01501,015,Enfant biologiqueAdopte,Masculi,25-29ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,2,Moins de 30 minutes,Diminué,Torche,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,650.5859375,Dakar urbain
DAKAR,01502,015,Enfant biologique/Adopte,Feminin,30-34ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,650.5859375,Dakar urbain
DAKAR,01506,015,Enfant biologiqueAdopte,Feminin,25-29ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Moins de 30 minutes,Restée la même,Autre,Oui,,,Oui,,,Transport Dakar Dem Dikk,Attente trop longue,,Aucune demande,98,,,650.5859375,Dakar urbain
DAKAR,01511,015,Chef de menage,Masculi,45-49ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Non,,,Taxi jaune noir,Aucune repproche,,Aucune demande,98,,,650.5859375,Dakar urbain
DAKAR,01601,016,Autre personne non apparentee,Feminin,20-24ans,Diola, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Perte de temps,,Aucune demande,98,,,694.4456787109375,Dakar urbain
DAKAR,01602,016,Chef de menage,Masculi,35-39ans,Diola, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,4,Entre 30 minutes et 1 heure,Augmenté,Lampe rechargeable,Oui,,,Oui,,,La moto/le scooter/taxi jakarta,Aucune repproche,,Aucune demande,98,,,694.4456787109375,Dakar urbain
DAKAR,01603,016,EpouseEpoux,Feminin,40-44ans,Diola, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,0,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,Aucune demande,98,,,694.4456787109375,Dakar urbain
DAKAR,01609,016,EpouseEpoux,Feminin,25-29ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,694.4456787109375,Dakar urbain
DAKAR,01611,016,EpouseEpoux,Feminin,18-19ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 1 et 2 heures,Restée la même,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Aucune repproche,,Aucune demande,98,,,694.4456787109375,Dakar urbain
DAKAR,01702,017,Enfant biologiqueAdopte,Feminin,30-34ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,4,Moins de 30 minutes,Restée la même,Bougies,Oui,,,Non,,,Transport public TaTa,Attente trop longue,,Aucune demande,98,,,793.7860717773438,Dakar urbain
DAKAR,01706,017,EpouseEpoux,Feminin,40-44ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,6,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Taxi clando,Aucune repproche,,Aucune demande,98,,,793.7860717773438,Dakar urbain
DAKAR,01707,017,EpouseEpoux,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,1,Moins de 30 minutes,Diminué,Lampe rechargeable,Oui,,,Oui,,,La moto/le scooter/taxi jakarta,Manque de place/surcharge,,Aucune demande,98,,,793.7860717773438,Dakar urbain
DAKAR,01801,018,EpouseEpoux,Feminin,35-39ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Moins de 30 minutes,Diminué,Bougies,Non,,,,,,Transport public TaTa,Prix trop élevé,,Aucune demande,98,,,804.094970703125,Dakar urbain
DAKAR,01802,018,Chef de menage,Masculi,45-49ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Moins de 30 minutes,Restée la même,Bougies,Oui,,,Oui,,,Transport Dakar Dem Dikk,Attente trop longue,,Aucune demande,98,,,804.094970703125,Dakar urbain
DAKAR,01803,018,Chef de menage,Masculi,60-64ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Moins de 30 minutes,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,804.094970703125,Dakar urbain
DAKAR,01809,018,S?urFrere,Masculi,30-34ans,Diola, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Perte de temps,,Aucune demande,98,,,804.094970703125,Dakar urbain
DAKAR,01811,018,EpouseEpoux,Masculi,35-39ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Plus de 6 heures,Diminué,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,Aucune demande,98,,,804.094970703125,Dakar urbain
DAKAR,01906,019,EpouseEpoux,Feminin,40-44ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,5,Entre 1 et 2 heures,Diminué,Bougies,Non,Branchement clandestin,,,,,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,Aucune demande,98,,,804.094970703125,Dakar urbain
DAKAR,02002,020,Chef de menage,Masculi,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,7,Moins de 30 minutes,Augmenté,Torche,Oui,,,Non,,,Transport public TaTa,Perte de temps,,Aucune demande,98,,,862.1224975585938,Dakar urbain
DAKAR,02010,020,Chef de menage,Feminin,60-64ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,4,Moins de 30 minutes,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de fiabilité des services de transport public,,Aucune demande,98,,,862.1224975585938,Dakar urbain
DAKAR,02011,020,Chef de menage,Masculi,45-49ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 2 et 6 heures,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Perte de temps,,Aucune demande,98,,,862.1224975585938,Dakar urbain
DAKAR,02012,020,Autre personne non apparentee,Masculi,20-24ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Oui,,,Le trekking/marche/à pied,Aucune repproche,,Aucune demande,98,,,862.1224975585938,Dakar urbain
DAKAR,02103,021,Chef de menage,Masculi,60-64ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,3,Plus de 6 heures,Augmenté,Torche,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,717.9419555664063,Dakar urbain
DAKAR,02104,021,Enfant biologiqueAdopte,Masculi,30-34ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Plus de 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,717.9419555664063,Dakar urbain
DAKAR,02107,021,Petit-enfant,Masculi,35-39ans,Diola, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,3,Moins de 30 minutes,Augmenté,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,717.9419555664063,Dakar urbain
DAKAR,02108,021,Chef de menage,Masculi,30-34ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Plus de 6 heures,Restée la même,Bougies,Oui,,,Oui,,,Le trekking/marche/à pied,Aucune repproche,,Aucune demande,98,,,717.9419555664063,Dakar urbain
DAKAR,02112,021,EpouseEpoux,Feminin,35-39ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Plus de 6 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,Aucune demande,98,,,717.9419555664063,Dakar urbain
DAKAR,02202,022,Chef de menage,Masculi,30-34ans,Diola, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,Aucune demande,98,,,730.3248291015625,Dakar urbain
DAKAR,02208,022,NieceNeveu,Masculi,20-24ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 30 minutes et 1 heure,Diminué,Lampe rechargeable,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,730.3248291015625,Dakar urbain
DAKAR,02302,023,Chef de menage,Feminin,45-49ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Plus de 6 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Trop dangereux,,Aucune demande,98,,,953.3085327148438,Dakar urbain
DAKAR,02303,023,Chef de menage,Feminin,65-69ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Moins de 30 minutes,Restée la même,Bougies,Oui,,,Non,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,953.3085327148438,Dakar urbain
DAKAR,02306,023,Chef de menage,Feminin,50-54ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 2 et 6 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,953.3085327148438,Dakar urbain
DAKAR,02308,023,Chef de menage,Feminin,75-79ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Plus de 6 heures,Augmenté,Lampe rechargeable,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,953.3085327148438,Dakar urbain
DAKAR,02404,024,Chef de menage,Masculi,30-34ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,3,Plus de 6 heures,Restée la même,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,971.3467407226563,Dakar urbain
DAKAR,02408,024,Chef de menage,Masculi,25-29ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 1 et 2 heures,Restée la même,Torche,Oui,,,Oui,,,Le trekking/marche/à pied,Perte de temps,,Aucune demande,98,,,971.3467407226563,Dakar urbain
DAKAR,02411,024,Chef de menage,Feminin,40-44ans,Soce, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,3,Moins de 30 minutes,Augmenté,Bougies,Oui,,,Oui,,,Taxi clando,Attente trop longue,,Aucune demande,98,,,971.3467407226563,Dakar urbain
DAKAR,02501,025,Chef de menage,Masculi,50-54ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,7,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Manque de place/surcharge,,Aucune demande,98,,,737.7018432617188,Dakar urbain
DAKAR,02505,025,Chef de menage,Masculi,45-49ans,Diola, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,4,Entre 30 minutes et 1 heure,Diminué,Systeme solaire personnel/generateur personnel,Oui,,,Non,,,Transport public TaTa,Perte de temps,,Aucune demande,98,,,737.7018432617188,Dakar urbain
DAKAR,02508,025,Enfant biologique/Adopte,Masculi,20-24ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,737.7018432617188,Dakar urbain
DAKAR,02511,025,Chef de menage,Feminin,30-34ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Moins de 30 minutes,Diminué,Lampe rechargeable,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,737.7018432617188,Dakar urbain
DAKAR,02601,026,Chef de menage,Masculi,60-64ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,Aucune demande,98,,,932.4080200195313,Dakar urbain
DAKAR,02604,026,EpouseEpoux,Feminin,50-54ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Moins de 30 minutes,Augmenté,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Trop dangereux,,Aucune demande,98,,,932.4080200195313,Dakar urbain
DAKAR,02608,026,Chef de menage,Masculi,50-54ans,Serere, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Moins de 30 minutes,Diminué,Bougies,Oui,,,Oui,,,Le trekking/marche/à pied,Trop dangereux,,Aucune demande,98,,,932.4080200195313,Dakar urbain
DAKAR,02702,027,Petit-enfant,Masculi,20-24ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Moins de 30 minutes,Augmenté,Lampe rechargeable,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,823.7070922851563,Dakar urbain
DAKAR,02707,027,Enfant biologiqueAdopte,Feminin,25-29ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,3,Entre 30 minutes et 1 heure,Restée la même,Systeme solaire personnel/generateur personnel,Oui,,,Oui,,,Transport public TaTa,Manque de fiabilité des services de transport public,,Aucune demande,98,,,823.7070922851563,Dakar urbain
DAKAR,02801,028,Chef de menage,Feminin,40-44ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,4,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,686.1610717773438,Dakar urbain
DAKAR,02802,028,Chef de menage,Masculi,35-39ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,686.1610717773438,Dakar urbain
DAKAR,02804,028,Chef de menage,Masculi,55-59ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Plus de 6 heures,Diminué,Torche,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,686.1610717773438,Dakar urbain
DAKAR,02807,028,Chef de menage,Masculi,45-49ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,686.1610717773438,Dakar urbain
DAKAR,02905,029,EpouseEpoux,Feminin,45-49ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,933.7877197265625,Dakar urbain
DAKAR,02906,029,EpouseEpoux,Feminin,70-74ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 2 et 6 heures,Augmenté,Torche,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,933.7877197265625,Dakar urbain
DAKAR,02911,029,Beau-FilsBelle-Fille,Feminin,25-29ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Plus de 6 heures,Restée la même,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,933.7877197265625,Dakar urbain
DAKAR,03002,030,EpouseEpoux,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Moins de 30 minutes,Restée la même,Bougies,Oui,,,Non,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,651.9689331054688,Dakar urbain
DAKAR,03004,030,EpouseEpoux,Feminin,35-39ans,Halpulaar, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Moins de 30 minutes,Diminué,Torche,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,651.9689331054688,Dakar urbain
DAKAR,03005,030,EpouseEpoux,Feminin,35-39ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Moins de 30 minutes,Diminué,Autre,Oui,,,Non,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,651.9689331054688,Dakar urbain
DAKAR,03006,030,Enfant biologiqueAdopte,Feminin,18-19ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Plus de 6 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,651.9689331054688,Dakar urbain
DAKAR,03007,030,Enfant biologiqueAdopte,Masculi,25-29ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,651.9689331054688,Dakar urbain
DAKAR,03009,030,Chef de menage,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,7,Moins de 30 minutes,Restée la même,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,651.9689331054688,Dakar urbain
DAKAR,03101,031,Chef de menage,Feminin,25-29ans,Bambara, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,0,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,Aucune demande,98,,,786.0928955078125,Dakar urbain
DAKAR,03102,031,EpouseEpoux,Feminin,25-29ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,1,Plus de 6 heures,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,786.0928955078125,Dakar urbain
DAKAR,03103,031,EpouseEpoux,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 2 et 6 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,Aucune demande,98,,,786.0928955078125,Dakar urbain
DAKAR,03104,031,EpouseEpoux,Feminin,20-24ans,Fula, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,1,Entre 30 minutes et 1 heure,Diminué,Autre,Oui,,,Non,,,Taxi jaune noir,Aucune repproche,,Aucune demande,98,,,786.0928955078125,Dakar urbain
DAKAR,03105,031,EpouseEpoux,Feminin,50-54ans,Halpulaar, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,1,Entre 30 minutes et 1 heure,Restée la même,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,786.0928955078125,Dakar urbain
DAKAR,03108,031,Chef de menage,Feminin,35-39ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,786.0928955078125,Dakar urbain
DAKAR,03210,032,EpouseEpoux,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,Aucune demande,98,,,789.5631713867188,Dakar urbain
DAKAR,03301,033,Enfant biologiqueAdopte,Feminin,35-39ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Entre 30 minutes et 1 heure,Restée la même,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,Aucune demande,98,,,809.3505249023438,Dakar urbain
DAKAR,03304,033,Chef de menage,Feminin,20-24ans,Fula, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,1,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,809.3505249023438,Dakar urbain
DAKAR,03306,033,Chef de menage,Masculi,30-34ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Attente trop longue,,Aucune demande,98,,,809.3505249023438,Dakar urbain
DAKAR,03309,033,Chef de menage,Masculi,25-29ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Moins de 30 minutes,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,809.3505249023438,Dakar urbain
DAKAR,03402,034,Chef de menage,Masculi,40-44ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,741.5542602539063,Dakar urbain
DAKAR,03403,034,Chef de menage,Masculi,50-54ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public TaTa,Aucune repproche,,Aucune demande,98,,,741.5542602539063,Dakar urbain
DAKAR,03409,034,Chef de menage,Masculi,20-24ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,6,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,Aucune demande,98,,,741.5542602539063,Dakar urbain
